Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Total U.S.",Weekly,"2019-01-07 00:00:00",Conventional,1.020000000,44749707.48,14377053.08,11890232.90,893721.10,17588700.40,12829493.40,4617813.55,141393.45
Albany,Weekly,"2019-01-07 00:00:00",Conventional,1.070000000,129222.29,3789.30,112635.18,158.00,12639.81,8877.95,3761.86,0.00
Atlanta,Weekly,"2019-01-07 00:00:00",Conventional,0.920000000,828971.15,388574.98,38902.85,3482.04,398011.28,299475.26,98477.41,58.61
Baltimore/Washington,Weekly,"2019-01-07 00:00:00",Conventional,1.310000000,925391.38,102652.85,530128.43,8212.94,284397.16,263150.78,21233.05,13.33
Boise,Weekly,"2019-01-07 00:00:00",Conventional,1.230000000,108261.98,43723.19,7085.86,14435.46,43017.47,23932.54,19049.95,34.98
Boston,Weekly,"2019-01-07 00:00:00",Conventional,1.340000000,767731.38,11483.09,597937.87,2510.57,155799.85,109108.51,46691.34,0.00
Buffalo/Rochester,Weekly,"2019-01-07 00:00:00",Conventional,1.190000000,197137.26,9963.81,92129.51,281.96,94761.98,53069.02,41679.63,13.33
California,Weekly,"2019-01-07 00:00:00",Conventional,1.060000000,7195166.45,1989731.98,2089603.56,118964.72,2996866.19,2851060.95,77908.55,67896.69
Charlotte,Weekly,"2019-01-07 00:00:00",Conventional,1.100000000,323640.60,122312.03,63971.60,9550.23,127806.74,108828.50,18929.10,49.14
Chicago,Weekly,"2019-01-07 00:00:00",Conventional,1.310000000,739020.76,186828.35,371930.88,46176.93,134084.60,111203.24,21301.95,1579.41
Cincinnati/Dayton,Weekly,"2019-01-07 00:00:00",Conventional,0.810000000,381974.08,76483.81,38131.33,9393.38,257965.56,235641.79,21912.15,411.62
Columbus,Weekly,"2019-01-07 00:00:00",Conventional,0.870000000,265974.39,74786.63,38044.60,3039.06,150104.10,126888.94,23155.18,59.98
"Dallas/Ft. Worth",Weekly,"2019-01-07 00:00:00",Conventional,0.680000000,1739039.62,789897.17,232813.75,17050.28,699278.42,543479.17,155453.79,345.46
Denver,Weekly,"2019-01-07 00:00:00",Conventional,1.040000000,990107.19,157260.45,215321.46,17338.74,600186.54,183278.12,416576.16,332.26
Detroit,Weekly,"2019-01-07 00:00:00",Conventional,0.930000000,561515.47,143677.15,65215.69,82673.50,269949.13,232424.57,25041.65,12482.91
"Grand Rapids",Weekly,"2019-01-07 00:00:00",Conventional,1.210000000,222842.69,5006.78,84184.42,80516.26,53135.23,33167.05,615.83,19352.35
"Great Lakes",Weekly,"2019-01-07 00:00:00",Conventional,1.000000000,4526121.95,953487.99,1176050.61,364915.05,2031668.30,1564128.36,398894.00,68645.94
Harrisburg/Scranton,Weekly,"2019-01-07 00:00:00",Conventional,1.020000000,379285.32,66988.09,224761.57,513.62,87022.04,82104.22,4911.15,6.67
Hartford/Springfield,Weekly,"2019-01-07 00:00:00",Conventional,1.400000000,378882.16,7744.34,294948.08,576.57,75613.17,68977.82,6625.35,10.00
Houston,Weekly,"2019-01-07 00:00:00",Conventional,0.620000000,1862343.88,900434.41,172976.36,2245.67,786687.44,612662.75,174018.02,6.67
Indianapolis,Weekly,"2019-01-07 00:00:00",Conventional,0.860000000,282887.95,60648.16,63097.30,5951.31,153191.18,138052.87,11118.96,4019.35
Jacksonville,Weekly,"2019-01-07 00:00:00",Conventional,1.130000000,233283.11,131385.41,10798.29,1273.74,89825.67,37166.91,52655.43,3.33
"Las Vegas",Weekly,"2019-01-07 00:00:00",Conventional,1.030000000,379303.12,72070.33,100219.03,9533.70,197480.06,85198.75,112281.31,0.00
"Los Angeles",Weekly,"2019-01-07 00:00:00",Conventional,0.870000000,3599552.29,1132790.21,381246.51,76621.56,2008894.01,1907302.08,46313.61,55278.32
Louisville,Weekly,"2019-01-07 00:00:00",Conventional,0.980000000,146399.81,34876.12,20517.55,204.85,90801.29,66986.65,23807.98,6.66
"Miami/Ft. Lauderdale",Weekly,"2019-01-07 00:00:00",Conventional,1.140000000,885275.40,546503.42,52959.04,5542.80,280270.14,113257.66,166999.15,13.33
Midsouth,Weekly,"2019-01-07 00:00:00",Conventional,1.070000000,4204207.55,1267197.98,1135305.43,36475.32,1765228.82,1455150.48,309888.62,189.72
Nashville,Weekly,"2019-01-07 00:00:00",Conventional,0.940000000,321950.79,143132.03,9906.16,560.36,168352.24,129491.41,38843.76,17.07
